ID,campaign,wp_md,wp_pd,plot,date,rounded_time,height_m,dbh_2023_cm,diameter_m,crown_area_m2,crown_volume_m3,wind_problems,time,vpd16m,vpd42m,size_class
TFE_270,May-24,-0.450333333,-0.153666667,TFE,28/05/2024,28/05/2024 13:00,36.84549904,70.98310462,0.700049825,201.1289333,965.5815296,FALSE,28/05/2024 13:00,0.754405572,0.541860045,Emergent
Control_313,May-23,-0.45,-0.04,Control,24/05/2023,24/05/2023 13:00,27.08074951,22.44084698,0.227863043,48.02824972,288.3456931,FALSE,24/05/2023 13:00,1.16499138,1.418234851,Subcanopy
Control_215,Feb-24,-0.45,-0.246666667,Control,23/02/2024,23/02/2024 12:00,37.08650184,70.66479473,0.717267398,42.93890035,164.8538103,FALSE,23/02/2024 12:00,0.803822574,1.048946117,Emergent
TFE_217,Feb-24,-0.436666667,-0.073333333,TFE,21/02/2024,21/02/2024 13:00,22.76125145,38.51549623,0.385238536,122.737432,639.7528176,FALSE,21/02/2024 13:00,0.827869006,1.589891026,Emergent
Control_279.1,Jul-23,-0.433333333,-0.04,Control,13/07/2023,13/07/2023 13:00,NA,NA,NA,NA,NA,NA,13/07/2023 13:00,0.756509806,1.008010169,Subcanopy
Control_279.1,Feb-24,-0.43,-0.143333333,Control,22/02/2024,22/02/2024 13:00,NA,NA,NA,NA,NA,NA,22/02/2024 13:00,1.432109545,1.737777747,Subcanopy
TFE_122.1,May-24,-0.424666667,-0.135,TFE,27/05/2024,27/05/2024 13:00,16.47875023,11.4591559,0.265516064,17.72722812,60.59382893,FALSE,27/05/2024 13:00,1.063343721,0.735961157,Subcanopy
TFE_78,May-23,-0.371666667,-0.07,TFE,30/05/2023,30/05/2023 12:00,26.21074867,NA,0.261152781,41.06460661,97.23915635,FALSE,30/05/2023 12:00,0.767227892,1.067943306,NA
TFE_168,Feb-24,-0.31,-0.1,TFE,21/02/2024,21/02/2024 13:00,27.17225075,37.24225668,0.382537192,73.95437635,395.713524,FALSE,21/02/2024 13:00,0.827869006,1.589891026,Emergent
Control_204,May-23,-0.3,-0.07,Control,30/05/2023,30/05/2023 12:00,31.78474832,52.83944111,0.507074208,100.9321944,551.3281761,FALSE,30/05/2023 12:00,0.767227892,1.067943306,Emergent
TFE_122.1,May-23,-0.296666667,-0.07,TFE,29/05/2023,29/05/2023 14:00,16.47875023,11.4591559,0.265516064,17.72722812,60.59382893,FALSE,29/05/2023 14:00,0.741118213,1.101647345,Subcanopy
Control_249,May-23,-0.27,-0.07,Control,29/05/2023,29/05/2023 12:00,16.45674896,12.41408556,0.131373469,24.37456735,56.14485808,FALSE,29/05/2023 12:00,0.482514301,0.773049777,Subcanopy
Control_211,Oct-23,-0.265,-0.071666667,Control,10/10/2023,10/10/2023 13:00,22.47725034,29.9211293,0.311562354,23.78889157,119.1942768,FALSE,10/10/2023 13:00,1.809188959,1.992434472,Subcanopy
Control_211,Feb-24,-0.203333333,-0.103333333,Control,21/02/2024,21/02/2024 13:00,22.47725034,29.9211293,0.311562354,23.78889157,119.1942768,FALSE,21/02/2024 13:00,0.827869006,1.589891026,Subcanopy
Control_313,May-24,-0.186,-0.147,Control,28/05/2024,28/05/2024 12:00,27.08074951,22.44084698,0.227863043,48.02824972,288.3456931,FALSE,28/05/2024 12:00,0.622343994,0.286097324,Subcanopy
