X,unique_id,image_id,plot,month,year,id,Le,L,LX,LXG1,LXG2,DIFN,MTA.ell,x,VZA,rings,azimuths,mask,lens
61,DSC_0216.JPG_PB_August_2023,DSC_0216.JPG,PB,August,2023,DSC_0216.JPG,5.07,6.64,0.76,0.76,0.66,2.663,43,1.75,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
62,DSC_0217.JPG_PB_August_2023,DSC_0217.JPG,PB,August,2023,DSC_0217.JPG,3.4,5,0.68,0.6,0.46,7.454,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
63,DSC_0218.JPG_PB_August_2023,DSC_0218.JPG,PB,August,2023,DSC_0218.JPG,2.11,2.48,0.85,0.68,0.55,19.574,36,2.22,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
64,DSC_0219.JPG_PB_August_2023,DSC_0219.JPG,PB,August,2023,DSC_0219.JPG,3.82,4.42,0.86,0.8,0.7,5.061,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
65,DSC_0220.JPG_PB_August_2023,DSC_0220.JPG,PB,August,2023,DSC_0220.JPG,4.1,5.11,0.8,0.73,0.62,4.227,12,6.43,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
66,DSC_0221.JPG_PB_August_2023,DSC_0221.JPG,PB,August,2023,DSC_0221.JPG,4.23,6.89,0.61,0.64,0.51,4.615,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
67,DSC_0222.JPG_PB_August_2023,DSC_0222.JPG,PB,August,2023,DSC_0222.JPG,5.7,7.03,0.81,0.75,0.65,1.493,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
68,DSC_0223.JPG_PB_August_2023,DSC_0223.JPG,PB,August,2023,DSC_0223.JPG,4.55,5.81,0.78,0.77,0.67,3.644,17,4.73,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
69,DSC_0224.JPG_PB_August_2023,DSC_0224.JPG,PB,August,2023,DSC_0224.JPG,4.18,5.2,0.8,0.74,0.64,4.062,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
70,DSC_0225.JPG_PB_August_2023,DSC_0225.JPG,PB,August,2023,DSC_0225.JPG,4.58,5.83,0.79,0.73,0.62,2.983,10,8.97,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
71,DSC_0226.JPG_PB_August_2023,DSC_0226.JPG,PB,August,2023,DSC_0226.JPG,4.96,6.3,0.79,0.78,0.68,2.664,31,2.58,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
72,DSC_0227.JPG_PB_August_2023,DSC_0227.JPG,PB,August,2023,DSC_0227.JPG,4.72,5.66,0.83,0.76,0.66,3.538,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
73,DSC_0228.JPG_PB_August_2023,DSC_0228.JPG,PB,August,2023,DSC_0228.JPG,3.2,3.65,0.88,0.76,0.66,8.651,32,2.53,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
74,DSC_0229.JPG_PB_August_2023,DSC_0229.JPG,PB,August,2023,DSC_0229.JPG,4.15,5.68,0.73,0.71,0.6,5.131,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
75,DSC_0230.JPG_PB_August_2023,DSC_0230.JPG,PB,August,2023,DSC_0230.JPG,3.43,4.37,0.78,0.69,0.57,8.369,32,2.54,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
76,DSC_0232.JPG_PA_August_2023,DSC_0232.JPG,PA,August,2023,DSC_0232.JPG,4.67,7.21,0.65,0.68,0.56,4.222,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
77,DSC_0233.JPG_PA_August_2023,DSC_0233.JPG,PA,August,2023,DSC_0233.JPG,5.16,7.42,0.7,0.71,0.6,5.16,62,0.86,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
78,DSC_0234.JPG_PA_August_2023,DSC_0234.JPG,PA,August,2023,DSC_0234.JPG,5.1,6.06,0.84,0.78,0.69,2.032,29,2.75,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
79,DSC_0235.JPG_PA_August_2023,DSC_0235.JPG,PA,August,2023,DSC_0235.JPG,4.66,5.51,0.85,0.8,0.72,2.722,23,3.49,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
80,DSC_0236.JPG_PA_August_2023,DSC_0236.JPG,PA,August,2023,DSC_0236.JPG,4.66,5.2,0.9,0.81,0.73,2.774,16,5.04,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
81,DSC_0237.JPG_PA_August_2023,DSC_0237.JPG,PA,August,2023,DSC_0237.JPG,4.77,5.43,0.88,0.8,0.71,2.647,30,2.69,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
82,DSC_0238.JPG_PA_August_2023,DSC_0238.JPG,PA,August,2023,DSC_0238.JPG,5.06,6.05,0.84,0.79,0.7,1.981,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
83,DSC_0239.JPG_PA_August_2023,DSC_0239.JPG,PA,August,2023,DSC_0239.JPG,5,6.03,0.83,0.75,0.66,2.235,21,3.83,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
84,DSC_0240.JPG_PA_August_2023,DSC_0240.JPG,PA,August,2023,DSC_0240.JPG,2.79,3.58,0.78,0.67,0.54,12.786,26,3.17,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
85,DSC_0241.JPG_PA_August_2023,DSC_0241.JPG,PA,August,2023,DSC_0241.JPG,3.87,4.93,0.78,0.71,0.6,4.871,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
86,DSC_0242.JPG_PA_August_2023,DSC_0242.JPG,PA,August,2023,DSC_0242.JPG,5.73,6.42,0.89,0.82,0.74,1.181,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
87,DSC_0243.JPG_PA_August_2023,DSC_0243.JPG,PA,August,2023,DSC_0243.JPG,4.24,5.79,0.73,0.66,0.54,3.881,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
88,DSC_0244.JPG_PA_August_2023,DSC_0244.JPG,PA,August,2023,DSC_0244.JPG,5.48,6.26,0.88,0.81,0.73,1.354,11,7.59,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
89,DSC_0245.JPG_PA_August_2023,DSC_0245.JPG,PA,August,2023,DSC_0245.JPG,4.35,5.16,0.84,0.78,0.69,3.535,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
90,DSC_0246.JPG_PA_August_2023,DSC_0246.JPG,PA,August,2023,DSC_0246.JPG,4.34,5.23,0.83,0.75,0.65,4.182,45,1.61,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
91,DSC_0247.JPG_PA_August_2023,DSC_0247.JPG,PA,August,2023,DSC_0247.JPG,5.12,5.95,0.86,0.78,0.69,2.074,16,4.92,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
92,DSC_0248.JPG_PA_August_2023,DSC_0248.JPG,PA,August,2023,DSC_0248.JPG,4.33,4.98,0.87,0.79,0.7,4.136,41,1.84,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
93,DSC_0249.JPG_PA_August_2023,DSC_0249.JPG,PA,August,2023,DSC_0249.JPG,4.6,5.57,0.83,0.77,0.67,3.061,34,2.36,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
94,DSC_0250.JPG_PA_August_2023,DSC_0250.JPG,PA,August,2023,DSC_0250.JPG,5.34,5.84,0.91,0.85,0.78,1.914,35,2.25,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
95,DSC_0251.JPG_PA_August_2023,DSC_0251.JPG,PA,August,2023,DSC_0251.JPG,5.5,6.14,0.9,0.82,0.74,1.448,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
96,DSC_0252.JPG_PA_August_2023,DSC_0252.JPG,PA,August,2023,DSC_0252.JPG,5.21,6.37,0.82,0.79,0.71,1.729,19,4.24,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
97,DSC_0253.JPG_PA_August_2023,DSC_0253.JPG,PA,August,2023,DSC_0253.JPG,4.8,5.46,0.88,0.78,0.69,2.377,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
98,DSC_0254.JPG_PA_August_2023,DSC_0254.JPG,PA,August,2023,DSC_0254.JPG,3.89,4.74,0.82,0.76,0.67,6.328,51,1.29,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
99,DSC_0255.JPG_PA_August_2023,DSC_0255.JPG,PA,August,2023,DSC_0255.JPG,5.48,6.17,0.89,0.81,0.73,1.616,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
100,DSC_0256.JPG_PA_August_2023,DSC_0256.JPG,PA,August,2023,DSC_0256.JPG,5.08,5.76,0.88,0.82,0.74,1.987,28,2.94,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
101,DSC_0258.JPG_PA_October_2023,DSC_0258.JPG,PA,October,2023,DSC_0258.JPG,5.88,8.04,0.73,0.74,0.63,1.435,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
102,DSC_0259.JPG_PA_October_2023,DSC_0259.JPG,PA,October,2023,DSC_0259.JPG,5.42,8.37,0.65,0.71,0.6,2.244,26,3.18,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
103,DSC_0260.JPG_PA_October_2023,DSC_0260.JPG,PA,October,2023,DSC_0260.JPG,6.25,8.16,0.77,0.75,0.65,0.82,11,7.49,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
104,DSC_0261.JPG_PA_October_2023,DSC_0261.JPG,PA,October,2023,DSC_0261.JPG,5.53,6.58,0.84,0.79,0.7,1.77,39,1.96,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
105,DSC_0262.JPG_PA_October_2023,DSC_0262.JPG,PA,October,2023,DSC_0262.JPG,5.24,6.39,0.82,0.78,0.69,2.708,45,1.65,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
106,DSC_0263.JPG_PA_October_2023,DSC_0263.JPG,PA,October,2023,DSC_0263.JPG,5.53,6.56,0.84,0.8,0.72,1.67,38,2.05,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
107,DSC_0264.JPG_PA_October_2023,DSC_0264.JPG,PA,October,2023,DSC_0264.JPG,6.19,7.42,0.83,0.8,0.71,0.856,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
108,DSC_0265.JPG_PA_October_2023,DSC_0265.JPG,PA,October,2023,DSC_0265.JPG,6,7.65,0.78,0.75,0.65,1.343,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
109,DSC_0266.JPG_PA_October_2023,DSC_0266.JPG,PA,October,2023,DSC_0266.JPG,4.14,5.86,0.71,0.7,0.59,5.304,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
110,DSC_0267.JPG_PA_October_2023,DSC_0267.JPG,PA,October,2023,DSC_0267.JPG,4.22,6.36,0.66,0.67,0.55,3.974,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
111,DSC_0268.JPG_PA_October_2023,DSC_0268.JPG,PA,October,2023,DSC_0268.JPG,6.96,8.31,0.84,0.82,0.74,0.489,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
112,DSC_0269.JPG_PA_October_2023,DSC_0269.JPG,PA,October,2023,DSC_0269.JPG,5.03,6.67,0.75,0.74,0.64,2.444,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
113,DSC_0270.JPG_PA_October_2023,DSC_0270.JPG,PA,October,2023,DSC_0270.JPG,6.16,7.5,0.82,0.8,0.71,0.81,16,4.91,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
114,DSC_0271.JPG_PA_October_2023,DSC_0271.JPG,PA,October,2023,DSC_0271.JPG,5.49,6.32,0.87,0.78,0.69,1.535,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
