plot,date,absolute_wc_0_50cm_l_m2,absolute_wc_50_100cm_l_m2,absolute_wc_100_250cm_l_m2,absolute_wc_250_400cm_l_m2,absolute_wc_0_400cm_l_m2,ew_0_400_cm,carbon_biomass_MgC_ha,lower_95ci_carbon_biomass_MgC_ha,upper_95ci_carbon_biomass_MgC_ha,wc_per_biomass_mm_MgC,lower_95ci_wc_per_biomass_mm_MgC,upper_95ci_wc_per_biomass_mm_MgC
Control,2023-09-20,91.565225,90.542325,306.917025,249.37889999999996,738.403475,0.39636347597627136,256.5877988302881,233.1501653256598,279.8730728005987,2.8777809325547614,3.1670724915361386,2.638351262631438
Control,2023-09-21,91.45867291666666,90.49970416666666,306.917025,249.2510375,738.1264395833334,0.39595081987171454,256.5877988302881,233.1501653256598,279.8730728005987,2.876701242024154,3.1658842641279374,2.6373614017137927
Control,2023-09-22,91.28818958333332,90.35053125000002,306.821128125,248.41993125,736.8797802083333,0.3940938674012077,256.5877988302881,233.1501653256598,279.8730728005987,2.8718426346364163,3.16053724079103,2.6329070275843875
Control,2023-09-23,91.29884479166668,90.2866,306.66130000000004,247.84455,736.0912947916668,0.3929193846420842,256.5877988302881,233.1501653256598,279.8730728005987,2.8687696692800704,3.1571553627830724,2.630089731126474
Control,2023-09-24,91.916846875,90.2866,306.8530937499999,247.84455,736.9010906249999,0.39412561017848136,256.5877988302881,233.1501653256598,279.8730728005987,2.8719256877541555,3.1606286428993533,2.6329831707318987
Control,2023-09-25,91.565225,90.2866,306.69326562500004,247.84455,736.3896406250001,0.3933637835239148,256.5877988302881,233.1501653256598,279.8730728005987,2.8699324129284176,3.158434992299597,2.631155735191631
Control,2023-09-26,91.39474166666668,90.2866,306.34164375,247.84455,735.8675354166667,0.39258608548071106,256.5877988302881,233.1501653256598,279.8730728005987,2.8678976115438095,3.1561956406456786,2.6292902280776063
Control,2023-09-27,91.22425833333332,90.2866,305.478571875,247.62079062499996,734.6102208333333,0.3907132616215676,256.5877988302881,233.1501653256598,279.8730728005987,2.8629974775972027,3.1508029162546096,2.6247977823744457
Control,2023-09-28,91.07508541666668,90.2866,305.606434375,247.077375,734.0454947916667,0.3898720780238169,256.5877988302881,233.1501653256598,279.8730728005987,2.860796569977117,3.1483807603840455,2.6227799889653993
Control,2023-09-29,94.218371875,93.611025,311.90366249999994,225.21288750000005,724.945946875,0.3763179121279826,256.5877988302881,233.1501653256598,279.8730728005987,2.8253328887025244,3.1093520601300413,2.59026686497812
Control,2023-09-30,97.4469,96.93545,318.42465,203.34840000000003,716.1554000000001,0.3632240165026159,256.5877988302881,233.1501653256598,279.8730728005987,2.7910734776351487,3.071648690446724,2.5588578166297533
Control,2023-10-01,97.4469,96.89282916666666,317.97713125,202.77301875,715.0898791666667,0.361636877638935,256.5877988302881,233.1501653256598,279.8730728005987,2.7869208217481938,3.067078585030564,2.555050659254194
Control,2023-10-02,97.21248541666668,96.63710416666665,317.08209375,202.06977499999996,713.0014583333333,0.3585260854661204,256.5877988302881,233.1501653256598,279.8730728005987,2.7787816162097623,3.0581211784148907,2.5475886307980966
Control,2023-10-03,96.97807083333336,96.70103541666666,316.8903,201.81405,712.38345625,0.35760554492518565,256.5877988302881,233.1501653256598,279.8730728005987,2.7763730757953287,3.055470517273518,2.545380479520272
Control,2023-10-04,96.93545,96.59448333333332,316.8903,201.81405,712.2342833333333,0.3573833454842703,256.5877988302881,233.1501653256598,279.8730728005987,2.775791703971155,3.0548307025152557,2.5448474774876937
Control,2023-10-05,96.95676041666668,96.65841458333333,316.8903,201.81405,712.319525,0.3575103165933648,256.5877988302881,233.1501653256598,279.8730728005987,2.7761239164421116,3.0551963109485483,2.5451520500777387
